PropertyID,BHKs,FloorArea,Bathrooms,Type_of_Sale,Furnishing_Status,Locality,Price_in_Lacs,Property_URL,Image_URL,Posted_On,Last_Modified_On
32306699,3,1501,3,Resale,Furnished,Ballygunge,200,https://www.magicbricks.com/propertyDetails/3-BHK-1501-Sq-ft-Multistorey-Apartment-FOR-Sale-Ballygunge-in-Kolkata&id=4d423332333036363939,https://img.staticmb.com/mbphoto/property/cropped_images/2018/Feb/05/Photo_h180_w240/32306699_3_6B43C722-8321-4CE4-83ED-4F161300C790_180_240.jpeg,"Feb 05, '18",37:25.1
31301043,3,1900,3,New,Unfurnished,Ballygunge,279,https://www.magicbricks.com/propertyDetails/3-BHK-1900-Sq-ft-Multistorey-Apartment-FOR-Sale-Ballygunge-in-Kolkata-r1&id=4d423331333031303433,https://img.staticmb.com/mbphoto/property/cropped_images/2017/Dec/16/Photo_h180_w240/31301043_7_building2_180_240.jpg,"May 05, '18",37:25.3
33437735,3,1000,2,Resale,Unfurnished,Ballygunge,72,https://www.magicbricks.com/propertyDetails/3-BHK-1000-Sq-ft-Multistorey-Apartment-FOR-Sale-Ekdalia-in-Kolkata&id=4d423333343337373335,https://img.staticmb.com/mbphoto/property/cropped_images/2018/Mar/30/Photo_h180_w240/33437735_20_BBCHATTERJEE02_180_240.jpg,"May 03, '18",37:25.4
34161361,3,1816,3,Resale,Unfurnished,Ballygunge,210,https://www.magicbricks.com/propertyDetails/3-BHK-1816-Sq-ft-Multistorey-Apartment-FOR-Sale-Ballygunge-in-Kolkata&id=4d423334313631333631,https://img.staticmb.com/mbimages/project/Photo_h310_w462/Project-Photo-4-Fort-Oasis-Kolkata-5022348_480_1366_310_462.jpg,"May 05, '18",37:25.6
33943007,3,1812,3,New,Unfurnished,Ballygunge,139,https://www.magicbricks.com/propertyDetails/3-BHK-1812-Sq-ft-Multistorey-Apartment-FOR-Sale-Park-Circus-in-Kolkata&id=4d423333393433303037,https://img.staticmb.com/mbphoto/property/cropped_images/2018/Apr/24/Photo_h180_w240/33943007_2_elixir-elevation-15564502_180_240.jpeg,"Apr 24, '18",37:25.8
32398807,3,1900,3,New,Unfurnished,Ballygunge,266,https://www.magicbricks.com/propertyDetails/3-BHK-1900-Sq-ft-Multistorey-Apartment-FOR-Sale-Chakraberia-in-Kolkata-r1&id=4d423332333938383037,https://img.staticmb.com/mbphoto/property/cropped_images/2018/Feb/08/Photo_h180_w240/32398807_2_NIRVANAELEVATION_180_240.jpg,"Apr 25, '18",37:26.0
33266017,3,1816,3,Resale,Unfurnished,Ballygunge,235,https://www.magicbricks.com/propertyDetails/3-BHK-1816-Sq-ft-Multistorey-Apartment-FOR-Sale-Ballygunge-in-Kolkata&id=4d423333323636303137,https://img.staticmb.com/mbimages/project/Photo_h310_w462/Project-Photo-22-Fort-Oasis-Kolkata-5022348_1296_972_310_462.JPEG,"May 05, '18",37:26.1
34016735,3,1100,2,Resale,Furnished,Ballygunge,70,https://www.magicbricks.com/propertyDetails/3-BHK-1100-Sq-ft-Multistorey-Apartment-FOR-Sale-Ballygunge-in-Kolkata&id=4d423334303136373335,https://img.staticmb.com/mbphoto/property/cropped_images/2018/Apr/27/Photo_h180_w240/34016735_2_93246835O-1520338007_180_240.jpeg,"Apr 27, '18",37:26.3
33889995,3,1501,2,Resale,Unfurnished,Ballygunge,151,https://www.magicbricks.com/propertyDetails/3-BHK-1501-Sq-ft-Multistorey-Apartment-FOR-Sale-Ballygunge-in-Kolkata&id=4d423333383839393935,https://img.staticmb.com/mbimages/project/Photo_h310_w462/Project-Photo-19-Fort-Oasis-Kolkata-5022348_1296_972_310_462.JPEG,"Apr 21, '18",37:26.6
33192337,3,1843,2,Resale,Furnished,Ballygunge,200,https://www.magicbricks.com/propertyDetails/3-BHK-1843-Sq-ft-Builder-Floor-Apartment-FOR-Sale-Ballygunge-in-Kolkata&id=4d423333313932333337,https://img.staticmb.com/mbphoto/property/cropped_images/2018/Mar/19/Photo_h180_w240/33192337_17_IMG-20180319-WA0023_180_240.jpg,"Apr 20, '18",37:26.8
